,sentence,relevant,chexpert_label,keyword_label,related_rad_label,other_finding
752,"There is a right-sided dual-lead pacemaker, which is unchanged",0.0,,,,0.0
753,There is worsening of the left retrocardiac opacity with likely small bilateral pleural effusions,0.0,,,,1.0
754,There are no pneumothoraces,0.0,,,,0.0
755,Dual lead right chest wall pacemaker is in stable position,0.0,,,,0.0
756,Median sternotomy wires appear intact,0.0,,,,0.0
757,Surgical clips project over the mediastinum,0.0,,,,1.0
758,Right internal jugular hemodialysis catheter terminates in the right atrium,0.0,,,,0.0
759,Mild cardiomegaly is unchanged,0.0,,,,1.0
760,The mediastinal and hilar contours are normal,0.0,,,,0.0
761,Small bilateral pleural effusions are redistributed with the patient upright and likely not significantly changed since the prior study,0.0,,,,1.0
762,There is no evidence of pneumonia,0.0,,,,0.0
763,There is no pneumothorax,0.0,,,,0.0
764,No evidence of pneumonia,0.0,,,,0.0
765,Small bilateral pleural effusions are redistributed but not significantly changed overall,0.0,,,,1.0
766,"In comparison with the study ___ ___, there is substantial increase in the degree of pulmonary edema with continued enlargement of the cardiac silhouette and blunting of the costophrenic angles",1.0,1.0,1.0,,1.0
767,The central catheter and pacer device remain in place,0.0,,,,0.0
768,"In the appropriate clinical setting, the opacification at the left mid and lower zones could reflect superimposed pneumonia",0.0,,,1.0,1.0
769,Small bilateral pleural effusions again seen,0.0,,,,1.0
770,Pulmonary edema which may be slightly improved since the prior study,1.0,1.0,1.0,,
771,Persistent cardiomegaly,0.0,,,,1.0
772,AP and lateral views of the chest were obtained with patient positioned upright,0.0,,,,0.0
773,"In comparison with prior chest radiographs and chest CT, there is improvement in scattered opacities seen on prior exam with near-complete resolution",1.0,,,1.0,
774,There are coarsened interstitial markings which could represent component of fibrosis,0.0,,,1.0,1.0
775,No new consolidation is seen,0.0,,,,1.0
776,No effusion or pneumothorax,0.0,,,,0.0
777,Patient rotation limits evaluation of the mediastinum,0.0,,,,1.0
778,The heart size appears grossly stable and top normal in overall size,0.0,,,,0.0
779,The imaged osseous structures appear intact,0.0,,,,0.0
780,Interval improvement in previously noted scattered pulmonary opacities,1.0,,,1.0,
781,There is a probable component of fibrosis likely accounting for interstitial coarsening,0.0,,,,1.0
782,"As compared to the previous radiograph, assessment for volume overload",1.0,,1.0,,0.0
783,PA and lateral views of the chest provided,0.0,,,,0.0
784,There is interval increase in right pleural effusion now moderate in size with associated consolidation in the right lower lung likely representing atelectasis though difficult to exclude a superimposed pneumonia,0.0,,,,1.0
785,The left lung appears clear,0.0,,,,0.0
786,Cardiomegaly is again noted,0.0,,,,1.0
787,There is no overt evidence for pulmonary edema,1.0,0.0,0.0,,0.0
788,The bony structures are intact,0.0,,,,0.0
789,"Persistent cardiomegaly with increasing right pleural effusion and right mid and lower lung atelectasis, difficult to exclude a superimposed pneumonia",0.0,,,,1.0
790,Interval placement of new right basilar chest tube with slightly decreased size of moderate right pleural effusion,0.0,,,,1.0
791,"Continued right basilar opacity, potentially atelectasis though infection is not excluded",0.0,,,,1.0
792,No pneumothorax,0.0,,,,0.0
793,"As compared to the previous image, the right chest tube is in unchanged position",0.0,,,,0.0
794,Unchanged small lateral right-sided pneumothorax,0.0,,,,1.0
795,The extent of the right basilar atelectasis has minimally increased,0.0,,,,1.0
796,Global and relatively massive cardiac enlargement,0.0,,,,1.0
797,No pneumothorax,0.0,,,,0.0
798,Normal appearance of the left lung,0.0,,,,0.0
799,"In comparison with the earlier study of this date, the degree of loculated air at the right base has decreased",0.0,,,,0.0
800,The overall effusion on the right seen is little change despite the presence of a chest tube,1.0,,,,1.0
801,"Otherwise, little change in the appearance of the heart and lungs",1.0,,,,1.0
802,A right pleural catheter remains in place and there is a slightly smaller but persistent apical lateral pneumothorax,0.0,,,,1.0
803,"Overall, there is improving aeration at the right base with decrease in size of the pleural collection",0.0,,,,0.0
804,"The heart remains markedly enlarged which may reflect cardiomegaly, although a pericardial effusion cannot be excluded",0.0,,,,1.0
805,"Opacity at the left base most likely reflects partial lower lobe atelectasis, although pneumonia cannot be excluded",0.0,,,,1.0
806,No evidence of pulmonary edema,1.0,0.0,0.0,,0.0
807,Interval increase in size of large layering right pleural collection consistent with hemothorax given history of bloody pleural fluid coming from the chest tube,0.0,,,,0.0
808,Right chest tube remains unchanged in position,0.0,,,,0.0
809,There is now slight shift to the mediastinal and cardiac structures to the left,0.0,,,,0.0
810,"There is improved aeration at the left base with interval appearance of patchy opacity in the left mid lung which may reflect an area of atelectasis, although pneumonia cannot be excluded",0.0,,,,1.0
811,No pneumothorax,0.0,,,,0.0
812,Heart remains enlarged,0.0,,,,0.0
813,Right chest tube remains unchanged in position,0.0,,,,0.0
814,There continues to be near complete opacification of the right hemithorax likely due to a large pleural collection,0.0,,,1.0,1.0
815,There continues to be slight leftward shift of the mediastinal structures,0.0,,,,0.0
816,A tiny amount of air is seen at the left apex consistent with a small pneumothorax,0.0,,,,1.0
817,Streaky opacities in the left lung likely reflect atelectasis,0.0,,,1.0,1.0
818,There is possibly a small left effusion as the costophrenic angle appears blunted,0.0,,,,1.0
819,The heart remains stably enlarged,0.0,,,,1.0
820,No evidence of pulmonary edema,1.0,0.0,0.0,,0.0
821,"Compared to previous radiograph from 1 day earlier, a right chest tube remains in place",0.0,,,,0.0
822,The moderate to large loculated right effusion has slightly decreased in size with increase in hydro pneumothorax component laterally,0.0,,,,1.0
823,The slight improvement in adjacent opacities in the right mid and lower lung,0.0,,,1.0,1.0
824,No other relevant change since recent study,1.0,,,,0.0
825,The 2 right-sided chest tubes are again visualized,0.0,,,,0.0
826,There has been interval improved aeration of the left lung and right upper lobe,0.0,,,,0.0
827,There continues to be hazy alveolar infiltrate involving the right lower lung dense consolidation/volume loss in the right lower lobe there small bilateral effusions there is no pneumothorax,0.0,,,1.0,1.0
828,The heart continues to be severely enlarged,0.0,,,,1.0
829,Increased right pneumothorax status post removal of the upper chest tube,0.0,,,,1.0
830,Decrease in size in right-sided hydro pneumothorax,0.0,,,,1.0
831,"In comparison with the study of ___, there is little change in the areas of localized air- levels consistent with the known empyema",1.0,,,,0.0
832,"Left chest tube at the base of the lung is again seen, with no evidence of pneumothorax",0.0,,,,0.0
833,Opacification along the right lateral chest wall is again seen,0.0,,,1.0,1.0
834,The left lung is essentially clear,0.0,,,,0.0
835,"Substantial enlargement of the cardiac silhouette persists, though there is no evidence of pulmonary vascular congestion",1.0,0.0,0.0,0.0,1.0
836,Minimal increase in the right-sided loculated hydro pneumothorax,0.0,,,,1.0
837,"Compared to ___, 09:15, the right chest tube has been removed",0.0,,,,0.0
838,The extent of the loculated right effusion is unchanged,0.0,,,,1.0
839,"Unchanged moderate to severe cardiomegaly, without evidence of pulmonary edema",1.0,0.0,0.0,,1.0
840,No significant change in right loculated hydropneumothorax,1.0,,,,1.0
841,AP and lateral views of the chest,0.0,,,,0.0
842,Low lung volumes are again noted,0.0,,,,0.0
843,There has been interval enlargement of the pleural effusion on the right since prior,0.0,,,,1.0
844,Small left effusion again noted,0.0,,,,1.0
845,Indistinct pulmonary vascular markings seen bilaterally potentially from low lung volumes although interstitial edema is possible,1.0,1.0,1.0,1.0,
846,Left subclavian central line is seen unchanged in position,0.0,,,,0.0
847,Midthoracic dextroscoliosis is again noted as well as hypertrophic changes in the spine,0.0,,,,
848,Comparison is made to study from ___,0.0,,,,0.0
849,There is a left-sided central line with its distal lead tip at the cavoatrial junction,0.0,,,,0.0
850,"There are unchanged large bilateral pleural effusions, right side slightly greater than left",0.0,,,,1.0
851,There are no pneumothoraces,0.0,,,,0.0
852,Comparison is made to previous study from ___,0.0,,,,0.0
853,There is a left-sided central line with its distal lead tip at the cavoatrial junction,0.0,,,,0.0
854,There are unchanged large bilateral pleural effusions,0.0,,,,1.0
855,There is again seen pulmonary edema which is moderate,1.0,1.0,1.0,,
856,There is no pneumothoraces,0.0,,,,0.0
857,The heart size is enlarged,0.0,,,,1.0
858,Comparison is made to previous study performed six hours earlier,0.0,,,,0.0
859,There is improvement of pulmonary edema,1.0,1.0,1.0,,
860,"There remains bilateral pleural effusions, right side greater than left",0.0,,,,1.0
861,The effusion on the left side is slightly decreased,0.0,,,,1.0
862,Left-sided central line is unchanged in position with distal lead tip at the cavoatrial junction,0.0,,,,0.0
863,"A very large right pleural effusion has increased in size from the prior radiograph, and occupies almost the entirety of the right hemithorax with only a small amount of residual aerated right upper lobe at the apex",0.0,,,,1.0
864,A small-to-moderate left pleural effusion has only slightly increased in size from the prior radiograph and is associated with adjacent atelectasis at the left lung base,0.0,,,,1.0
865,"Large right pleural effusion has further increased in size and now occupies the entirety of the right hemithorax, with associated leftward shift of the cardiomediastinal contours",0.0,,,,1.0
866,"Hemothorax should be considered if the patient has had recent intervention, trauma or has known coagulation disorder",0.0,,,,0.0
867,Left lung and pleural surfaces are grossly clear allowing for some crowding of bronchovascular structures related to the leftward cardiomediastinal shift,0.0,,,,0.0
868,"Interval worsening of airspace opacities at the right lung base, now extending to the right perihilar region",0.0,,,1.0,1.0
869,"Considering recent large volume thoracentesis, this may reflect reexpansion pulmonary edema",1.0,1.0,1.0,,
870,"Small residual right pleural effusion is present, but there is no evidence of a pneumothorax",0.0,,,,1.0
871,"Redemonstrated is a left central port, unchanged in location",0.0,,,,0.0
872,"As compared to chest radiographs dated ___, there has been partial improvement in the airspace opacities affecting the right lung base and right perihilar region",0.0,,,1.0,1.0
873,"A stable, small right pleural effusion is noted",0.0,,,,1.0
874,There is no new focus of consolidation identified,0.0,,,,0.0
875,"The left lung is grossly clear, and there is no evidence of pneumothorax",0.0,,,,0.0
876,"Stable, mild to moderate cardiomegaly is appreciated",0.0,,,,1.0
877,Interval improvement in the right perihilar and right lung base airspace opacification,0.0,,,1.0,1.0
878,"As compared to prior chest x-ray of ___,, right pleural effusion has increased, now moderate",0.0,,,,1.0
879,Left lung is clear,0.0,,,,0.0
880,Heart size is mildly enlarged,0.0,,,,1.0
881,No pulmonary edema or pneumothorax,1.0,0.0,0.0,,0.0
882,The left PICC is unchanged ending in lower SVC,0.0,,,,0.0
883,"Intervale increase of right pleural effusion, now moderate",0.0,,,,1.0
884,"As compared to the prior examination dated ___, there has been an interval increase in size of the right pleural effusion, now moderate to severe in size",0.0,,,,1.0
885,"The right upper lung field and left lung are grossly unremarkable without focal consolidation, pneumothorax, or pulmonary edema",1.0,0.0,0.0,,0.0
886,"There is stable, mild cardiomegaly",0.0,,,,1.0
887,Mediastinal contours are normal,0.0,,,,0.0
888,"The left-sided central venous line remains in an unchanged position, seen terminating in the lower SVC",0.0,,,,0.0
889,"Interval increase in the right pleural effusion, now occupying roughly half of the right hemi-thorax",0.0,,,,1.0
890,"In comparison with study of earlier in this date, there has been placement of a left chest tube drainage of a substantial amount of fluid from the right chest",0.0,,,,0.0
891,Small effusion and residual atelectasis or reexpansion edema is seen,1.0,1.0,1.0,,1.0
892,"Otherwise, little change",1.0,,,,0.0
893,"Right pigtail pleural catheter remains in place, with interval increase in size of a small right apical pneumothorax, with apical visceral pleural line just below the right third posterior rib level",0.0,,,,1.0
894,Right pleural effusion has further decreased in size with small residual effusion remaining,0.0,,,,1.0
895,"Nonspecific right lower lobe opacities, possibly representing reexpansion pulmonary edema, show further interval improvement",1.0,1.0,1.0,1.0,1.0
896,"Left lung remains clear, and there is no evidence of left pleural effusion",0.0,,,,0.0
897,Cardiomediastinal contours are stable,0.0,,,,1.0
898,Increasing small right apical pneumothorax with pleural catheter in place,0.0,,,,1.0
899,"Small residual right pleural effusion and improving adjacent right lower lobe opacities, possibly representing reexpansion pulmonary edema in the setting of recent history of large volume thoracentesis",1.0,1.0,1.0,1.0,1.0
900,AP chest compared to ___: Minimal if any right pleural effusion,0.0,,,,1.0
901,Small right apical pneumothorax essentially unchanged,0.0,,,,1.0
902,Lungs grossly clear,1.0,,0.0,,0.0
903,Heart size normal,0.0,,,,0.0
904,Right pleural drain unchanged in position,0.0,,,,0.0
905,Left subclavian line ends in the low SVC,0.0,,,,0.0
906,"As compared to the previous radiograph, the position of the right-sided chest tube and the left Port-A-Cath are unchanged",0.0,,,,0.0
907,There is no evidence of right pneumothorax,0.0,,,,0.0
908,The pigtail catheter is in constant position,0.0,,,,0.0
909,The appearance of the lung parenchyma is unchanged,0.0,,,,0.0
910,No pleural effusion on the right,0.0,,,,0.0
911,"On the left, a linear atelectasis is seen at the left lung base",0.0,,,,1.0
912,Borderline size of the cardiac silhouette,0.0,,,,1.0
913,No pulmonary edema,1.0,0.0,0.0,,0.0
914,"As compared to the previous radiograph, there is a small pneumothorax at the lung apex",0.0,,,,1.0
915,A PICC line catheter is in situ,0.0,,,,0.0
916,There is no evidence of tension,0.0,,,,0.0
917,No right pleural effusion,0.0,,,,0.0
918,The left lung appears unremarkable,0.0,,,,0.0
919,Normal size of the cardiac silhouette,0.0,,,,0.0
920,No pulmonary edema,1.0,0.0,0.0,,0.0
921,Unchanged position of the left Port-A-Cath,0.0,,,,0.0
922,"As compared to the previous radiograph, the position of the right chest tube is slightly changed",0.0,,,,0.0
923,"In unchanged manner, there is a millimetric right apical pneumothorax",0.0,,,,1.0
924,"No evidence of tension, no parenchymal opacities",0.0,,,0.0,0.0
925,"Unchanged appearance of the heart, unchanged left Port-A-Cath",1.0,,,,1.0
926,The position of the right chest tube is unchanged,0.0,,,,0.0
927,"On the current image, there is no longer a visualization of a right pneumothorax",0.0,,,,1.0
928,No pleural effusion,0.0,,,,0.0
929,"Overall, decreased lung volumes",0.0,,,,0.0
930,Unchanged appearance of the left lung and of the cardiac silhouette,1.0,,,,1.0
931,"In comparison with the study of ___, the right chest tube remains in place",0.0,,,,0.0
932,There is probably a small apical pneumothorax,0.0,,,,1.0
933,Opacification at the right base in the costophrenic angle is consistent with fluid in the pleural space and some atelectasis,0.0,,,1.0,1.0
934,"There is opacification at the left base with silhouetting of the hemidiaphragms, consistent with volume loss in the left lower lobe and pleural effusion",0.0,,,1.0,1.0
935,Right chest tube in place with slight increase in size of a small right apical pneumothorax,0.0,,,,1.0
936,Cardiomediastinal contours are stable allowing for patient rotation,0.0,,,,1.0
937,"Mild pulmonary vascular congestion is present as well as worsening bibasilar opacities, particularly in the left retrocardiac region and periphery of right lung base",1.0,1.0,1.0,1.0,
938,Small pleural effusions are again demonstrated,0.0,,,,1.0
939,"No change, no right effusion",1.0,,,,0.0
940,"In comparison with the study of ___, there is little interval change",1.0,,,,0.0
941,Right chest tube remains in place and there is no evidence of pneumothorax,0.0,,,,0.0
942,"As compared to the previous radiograph, the right chest tube remains in place",0.0,,,,0.0
943,The left and right central venous access lines are also in place,0.0,,,,0.0
944,"Although the frontal radiograph shows a minimal decrease in extent of the pleural fluid, lateral radiographs still reveal a small amount of intrafissural and dorsal fluid",0.0,,,,1.0
945,Moderate cardiomegaly persists,0.0,,,,1.0
946,No intraparenchymal changes,0.0,,,,0.0
947,No convincing evidence of pneumothorax,0.0,,,,0.0
948,Right subclavian PICC has been pushed down to the origin of the SVC,0.0,,,,0.0
949,Left femoral line is unchanged with tip ending in superior cavoatrial junction,0.0,,,,0.0
950,"Right pleural drain has been removed, there is pneumothorax",0.0,,,,1.0
951,"Persist mild opacification of the right lung, more dense in the lateral costodiaphragmatic sulcus probably for known chronic pleural effusion",0.0,,,1.0,1.0
952,"Right base paracardial opacity might be due to atelectasis, but in the appropriate clinical setting, pneumonia should be considered",0.0,,,,1.0
953,Follow-up CXR in PA and lateral is reccomended,0.0,,,,0.0
954,Left lung is clear,0.0,,,,0.0
955,"Heart size is normal, mild aortosclerosis",0.0,,,,0.0
956,Findings were reported to Dr ___ at 4:56 pm,0.0,,,,0.0
957,Moderate right upper lobe area of consolidation that may represent pneumonia or atelectasis,0.0,,,,1.0
958,There has been interval development of a significant increase in opacity projecting over the right hemithorax worrisome for worsening loculated/multiloculated pleural effusion with possible areas of underlying consolidation,0.0,,,,1.0
959,The right aspect of the cardiac silhouette is not well assessed due to the adjacent opacity at the cardiac silhouette is grossly stable and mildly enlarged,0.0,,,,1.0
960,The aorta is calcified and tortuous,0.0,,,,
961,Again seen is a left-sided subclavian central venous catheter terminating in the region of the low SVC,0.0,,,,0.0
962,Surgical clips are again seen projecting over the posterior lower mediastinum,0.0,,,,1.0
963,There may be a trace left pleural effusion,0.0,,,,1.0
964,No pneumothorax is seen,0.0,,,,0.0
965,Interval significant increase in opacity projecting over the right hemithorax worrisome for worsen loculated/multiloculated pleural effusion with possible areas of consolidation,0.0,,,,1.0
966,Possible trace left pleural effusion,0.0,,,,1.0
967,"As compared to the previous radiograph, the patient has received a right pleural catheter",0.0,,,,0.0
968,There is substantial decrease in extent of the pre-existing pleural fluid collection,0.0,,,,1.0
969,Small collection persists at the bases of the right hemithorax,0.0,,,,0.0
970,Associated atelectasis is also seen,0.0,,,,1.0
971,Minimal left pleural effusion is unchanged,0.0,,,,1.0
972,Unchanged appearance of the cardiac silhouette,1.0,,,,1.0
973,"A right pigtail drain is seen at the base of the right lung, unchanged in position",0.0,,,,0.0
974,A left central venous catheter is seen terminating in the low SVC and unchanged,0.0,,,,0.0
975,"There is some opacity at the base of the right lung which likely represents increased atelectasis, however may also represent pneumonia or pulmonary hemorrhage in the appropriate clinical setting",0.0,,,,1.0
976,There is possibly a new loculated right pleural effusion,0.0,,,,1.0
977,There is a small pleural effusion on the left,0.0,,,,1.0
978,The cardiomediastinal silhouette and hilar contours are grossly unchanged,0.0,,,,1.0
979,There is no pneumothorax,0.0,,,,0.0
980,"Opacity at the base of the right lung which likely represents increased atelectasis, however may also represent pneumonia or pulmonary hemorrhage in the appropriate clinical setting",0.0,,,,1.0
981,Comparison is made to the previous study from ___,0.0,,,,0.0
982,There is a right basilar pigtail catheter,0.0,,,,0.0
983,No pneumothoraces are seen,0.0,,,,0.0
984,There is also a left-sided subclavian catheter with distal lead tip at the cavoatrial junction,0.0,,,,0.0
985,Heart size is upper limits of normal,0.0,,,,1.0
986,There is again seen consolidation at the right base which may represent developing pneumonia or atelectasis,0.0,,,,1.0
987,There are bilateral pleural effusions,0.0,,,,1.0
988,There is mild pulmonary edema which has developed since the prior study,1.0,1.0,1.0,,
989,"Right pigtail pleural catheter is in place, with interval decrease in size of right pleural effusion with residual small effusion remaining, and no visible pneumothorax",0.0,,,,1.0
990,Cardiomediastinal contours are stable in appearance,0.0,,,,1.0
991,"Interval improvement in heterogeneous opacities in the right mid and bilateral lower lung regions, as well as decrease in size of a small left pleural effusion",0.0,,,1.0,1.0
992,Small to moderate right pleural effusion is not significantly changed,0.0,,,,1.0
993,Stable post radiation fibrotic changes with associated volume loss,0.0,,,,
994,Mild pulmonary vascular congestion,1.0,1.0,1.0,1.0,
995,Compared with the radiograph from ___ there is worsening hilar engorgement and pulmonary vascular dilatation consistent with congestive heart failure,1.0,1.0,,1.0,1.0
996,"Right lower lung opacities represent a combination of pleural thickening, post-pleurodesis changes, small effusion and right middle and lower lobe atelectasis",0.0,,,1.0,1.0
997,No new focal opacities are seen,1.0,,,0.0,
998,Bilateral post-radiation fibrotic changes are better characterized on prior CT from ___,0.0,,,,0.0
999,The cardiac silhouette is stable,0.0,,,,1.0
1000,A left subclavian line terminates in the distal SVC,0.0,,,,0.0
1001,Findings of vascular congestion are similar to earlier radiograph,1.0,1.0,1.0,,
1002,No evidence of pneumothorax,0.0,,,,0.0
1003,"Right lower lung opacities represent a combination of pleural thickening, post-pleurodesis changes, small effusion and right middle and lower lobe atelectasis",0.0,,,1.0,1.0
1004,AP upright and lateral views of the chest provided,0.0,,,,0.0
1005,Left subclavian central venous catheter is again seen with its tip located in the mid SVC region,0.0,,,,0.0
1006,The lung volumes are low with reticulonodular opacities noted diffusely within both lungs which could represent worsening edema versus a superimposed pneumonia,1.0,1.0,1.0,1.0,1.0
1007,"Small right pleural effusion persists with loculated fluid along the right major fissure, appearing minimally increased",0.0,,,,1.0
1008,Cardiomediastinal silhouette appears stable,0.0,,,,1.0
1009,No pneumothorax,0.0,,,,0.0
1010,Pulmonary edema possibly with superimposed pneumonia,1.0,1.0,1.0,,1.0
1011,"Small pleural effusion on the right, appears mildly increased",0.0,,,,1.0
1012,Followup to resolution,0.0,,,,0.0
1013,"Persistent moderate pulmonary edema, slightly improved in the interval with similar small right pleural effusion",1.0,1.0,1.0,,1.0
1014,Patchy bibasilar opacities likely reflect atelectasis though infection is not completely excluded,0.0,,,1.0,1.0
1015,"Moderate diffuse perihilar interstitial and alveolar opacities, right greater than left, with air bronchograms",1.0,,,1.0,
1016,The lungs are mildly hypoinflated,0.0,,,,0.0
1017,Small bilateral pleural effusions,0.0,,,,1.0
1018,No pneumothorax,0.0,,,,0.0
1019,Mild cardiomegaly is stable,0.0,,,,1.0
1020,Mediastinal contour is unremarkable,0.0,,,,0.0
1021,Left subclavian port tip in the upper SVC,0.0,,,,0.0
1022,Mediastinal clips noted,0.0,,,,0.0
1023,"Moderate diffuse bilateral, right greater than left, opacities could represent severe pulmonary edema however pneumonia cannot be excluded",1.0,1.0,1.0,1.0,1.0
1024,Clinical correlation recommended,0.0,,,,0.0
1025,Small bilateral pleural effusions and mild cardiomegaly,0.0,,,,1.0
1026,Improving heterogeneous lung opacities,1.0,,,1.0,
1027,"Rapid change suggests pulmonary edema, though underlying pneumonia in the right lung should be considered in the appropriate clinical setting",1.0,1.0,1.0,,1.0
1028,Single AP upright portable view of the chest was obtained,0.0,,,,0.0
1029,The patient is rotated to the right,0.0,,,,0.0
1030,"Given this, the left-sided AICD is without significant change in position",1.0,,,,0.0
1031,Patient is status post median sternotomy,0.0,,,,0.0
1032,"No focal consolidation, pleural effusion, or evidence of pneumothorax is seen",0.0,,,,0.0
1033,The cardiac and mediastinal silhouettes are grossly stable given differences in patient position,0.0,,,,1.0
1034,No overt pulmonary edema is seen,1.0,0.0,0.0,,0.0
1035,No radiographic evidence of CHF,1.0,0.0,,0.0,0.0
1036,"Patient rotated to the right, but given differences in patient positioning, no significant interval change",1.0,,,,0.0
1037,Unchanged moderate cardiomegaly,0.0,,,,1.0
1038,Pacemaker/AICD leads intact and in standard position,0.0,,,,0.0
1039,No pulmonary edema or consolidation,1.0,0.0,0.0,,0.0
1040,Mild pulmonary vascular congestion and small right pleural effusion,1.0,1.0,1.0,1.0,1.0
1041,Patchy right basilar opacity may reflect atelectasis however infection cannot be completely excluded,0.0,,,,1.0
1042,"Increased CHF, compared with ___ 2",1.0,1.0,,1.0,1.0
1043,Increased right pleural effusion with underlying atelectasis,0.0,,,,1.0
1044,The possibility of an early pneumonic infiltrate at the right base cannot be entirely excluded,0.0,,,,1.0
1045,Moderately severe cardiomegaly is grossly unchanged,0.0,,,,1.0
1046,Pacemaker/AICD device again noted,0.0,,,,0.0
1047,There is cardiomegaly without vascular congestion raising the possibility of pericardial effusion or a cardiomyopathy,1.0,0.0,0.0,,1.0
1048,There are bilateral pleural effusions worse on the left,0.0,,,,1.0
1049,There is a bandlike consolidation extending from a masslike structure at the right hilum to the adjacent pleura,0.0,,,,1.0
1050,"Cardiomegaly without vascular congestion is seen, suggesting either cardiomyopathy or pericardial effusion",1.0,0.0,0.0,,1.0
1051,An apparent right hilar mass is seen for which a dedicated CT is recommended,0.0,,,,1.0
1052,"In comparison with the earlier study of this date, there is little overall change in the appearance of the heart and lungs",1.0,,,,1.0
1053,Again there is increased opacification at the left base consistent with volume loss in the lower lobe and pleural effusion,0.0,,,1.0,1.0
1054,Prominence of the right hilum persists,0.0,,,,
1055,"The curvilinear opacification extending from the hilum to the periphery is again seen, possibly slightly more prominent",1.0,,,1.0,
1056,"As compared to the previous radiograph, there is a minimal increase in extent of the pre-existing left pleural effusion",0.0,,,,1.0
1057,The consolidation at the bases of the right upper lobe is constant,0.0,,,,1.0
1058,No pulmonary edema,1.0,0.0,0.0,,0.0
1059,Moderate cardiomegaly persists,0.0,,,,1.0
1060,No pneumothorax,0.0,,,,0.0
1061,Right-sided pleural effusion is increased in size with fluid extending to the minor fissure,0.0,,,,1.0
1062,"Retrocardiac consolidation is likely a combination of pleural fluid and parenchymal consolidation, which remains unchanged",0.0,,,,1.0
1063,Pleural drains remain in unchanged position,0.0,,,,0.0
1064,Evaluation of the cardiac silhouette is limited,0.0,,,,1.0
1065,No pneumothorax identified,0.0,,,,0.0
1066,The right hilum continues to be prominent,0.0,,,,
1067,Interval increase in right-sided pleural effusion with continued prominence of the right hilum,0.0,,,,1.0
1068,"A linear opacity extending over the right hemithorax has thickened since the ___ examination, reflecting increased atelectasis",0.0,,,,1.0
1069,"A left retrocardiac opacity is denser, also likely increased atelectasis",0.0,,,,1.0
1070,There is no pneumothorax,0.0,,,,0.0
1071,Bilateral pleural effusions are unchanged,0.0,,,,1.0
1072,Linear atelectasis along the right mid lung is minimally changed since the prior radiograph,0.0,,,,1.0
1073,A moderate left pleural effusion is unchanged,0.0,,,,1.0
1074,There is no pneumothorax,0.0,,,,0.0
1075,The cardiac and mediastinal contours are stable,0.0,,,,1.0
1076,Bilateral increased reticular opacities throughout the lungs consistent with moderate-to-severe pulmonary edema,1.0,1.0,1.0,1.0,
1077,The cardiomediastinal silhouette appears enlarged in comparison to prior study,0.0,,,,1.0
1078,"Additionally, focal opacity is noted overlying the right hemithorax",0.0,,,,1.0
1079,There are bilateral small pleural effusions,0.0,,,,1.0
1080,The lungs are without pneumothorax,0.0,,,,0.0
1081,No acute fractures are identified,0.0,,,,0.0
1082,Evidence of heart failure with enlarged cardiomediastinal silhouette as well as moderate-to-severe pulmonary edema,1.0,1.0,1.0,1.0,1.0
1083,"Focal opacity in the right lower lobe may be representative of atelectasis, asymmetric pulmonary edema, or pneumonia",1.0,1.0,1.0,,1.0
1084,Bilateral small pleural effusions,0.0,,,,1.0
1085,"The lungs are clear without focal opacity, pleural effusion or pneumothorax",1.0,,0.0,,0.0
1086,The cardiomediastinal silhouette is stable,0.0,,,,1.0
1087,A calcified density in the right upper quadrant represents a calcified liver cyst which is better characterized on the prior CT abdomen and pelvis,0.0,,,,
1088,No acute cardiopulmonary process,1.0,,0.0,,0.0
1089,No evidence of active disease,0.0,,,,0.0
1090,Cardiomegaly consistent with hemodialysis,0.0,,,,1.0
1091,"There is a moderate right pleural effusion with overlying atelectasis, increased since the prior study",0.0,,,,1.0
1092,"A small left pleural effusion is also seen, which is grossly stable to possibly slightly increased as compared to the prior study",0.0,,,,1.0
1093,"Prominence of the hila is stable, as compared to ___ and may relate to vascular engorgement",1.0,,1.0,,
1094,The right aspect of the cardiac border is difficult to assess due to the right-sided opacity,0.0,,,,1.0
1095,The left aspect of the cardiac and mediastinal silhouette is stable,0.0,,,,1.0
1096,There is no pneumothorax,0.0,,,,0.0
1097,Rounded calcified structure again projects over the right upper quadrant,0.0,,,,
1098,"Moderate right and small left pleural effusions, increased on the right and stable to possibly slightly increased on the left",0.0,,,,1.0
1099,"Right base opacity may be due to combination of pleural effusion and atelectasis, but consolidation is not excluded",0.0,,,,1.0
1100,Prominence of the hila possibly due to vascular congestion is again seen,1.0,1.0,1.0,,
1101,Comparison is made to prior study from ___,0.0,,,,0.0
1102,There has been improvement of the pleural effusion at the right base since the previous study,0.0,,,,1.0
1103,The heart size is enlarged but stable,0.0,,,,1.0
1104,There are no pneumothoraces or focal consolidation,0.0,,,,0.0
1105,There is some atelectasis at the lung bases,0.0,,,,1.0
1106,Calcified cystic structure in the right upper abdomen is unchanged and better assessed on the prior CT scan,0.0,,,,
1107,"In comparison with the study ___ ___, there is again substantial enlargement of the cardiac silhouette with prominent right pleural effusion and compressive atelectasis at the base",0.0,,,,1.0
1108,The IJ catheter has been pulled back slightly to about the junction of the SVC and left brachiocephalic vein,0.0,,,,0.0
1109,Portable semi-upright radiograph of the chest demonstrates low lung volumes which results in bronchovascular crowding,0.0,,,,0.0
1110,There is a large right-sided pleural effusion with adjacent atelectasis,0.0,,,,1.0
